boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
Brooklyn,69,TRUE,25-44,male,Black Hispanic
Brooklyn,70,FALSE,25-44,female,Asian / Pacific Islander
Brooklyn,77,TRUE,25-44,male,Black
Brooklyn,88,FALSE,25-44,male,Black Hispanic
Manhattan,34,FALSE,25-44,male,White Hispanic
Manhattan,33,FALSE,18-24,male,White Hispanic
Manhattan,33,FALSE,<18,female,Black Hispanic
the Bronx,40,FALSE,25-44,female,Black Hispanic
Brooklyn,70,FALSE,<18,male,Black
Queens,103,FALSE,25-44,male,Black
Manhattan,23,FALSE,18-24,male,White Hispanic
Brooklyn,70,FALSE,<18,male,Black
the Bronx,40,FALSE,25-44,male,White Hispanic
Brooklyn,61,FALSE,18-24,female,White
the Bronx,44,FALSE,45-64,male,Black Hispanic
Brooklyn,73,FALSE,18-24,male,Black
Brooklyn,73,FALSE,25-44,male,Black
Brooklyn,77,FALSE,18-24,male,Black
the Bronx,40,FALSE,25-44,male,Black
the Bronx,47,FALSE,25-44,male,Black
the Bronx,50,FALSE,18-24,male,White Hispanic
Staten Island,123,FALSE,18-24,male,Black
Brooklyn,61,TRUE,65+,male,White
Brooklyn,77,FALSE,18-24,male,Black
the Bronx,52,FALSE,25-44,male,Black Hispanic
Brooklyn,81,FALSE,25-44,male,Black
Manhattan,25,FALSE,18-24,male,Black
the Bronx,42,FALSE,25-44,male,Black
the Bronx,42,TRUE,25-44,male,Black
the Bronx,42,FALSE,<18,male,Black
the Bronx,42,TRUE,<18,male,Black
Brooklyn,71,FALSE,25-44,male,Black
Manhattan,34,FALSE,<18,male,White Hispanic
Queens,103,FALSE,18-24,male,Black
the Bronx,50,FALSE,25-44,male,White Hispanic
Manhattan,34,FALSE,18-24,male,White Hispanic
Manhattan,34,FALSE,18-24,male,White Hispanic
Brooklyn,67,FALSE,25-44,male,Black
the Bronx,43,FALSE,18-24,male,Black
Brooklyn,61,FALSE,18-24,male,Black
the Bronx,43,FALSE,18-24,female,Black
the Bronx,43,FALSE,18-24,female,Black
the Bronx,43,FALSE,18-24,female,Black
the Bronx,43,FALSE,18-24,female,Black
the Bronx,49,TRUE,25-44,male,Black
the Bronx,48,FALSE,25-44,male,Black
Brooklyn,75,FALSE,<18,male,Black
the Bronx,52,FALSE,25-44,male,Black
Brooklyn,69,FALSE,25-44,male,Black
the Bronx,44,FALSE,18-24,male,Black
the Bronx,41,FALSE,25-44,male,White Hispanic
the Bronx,40,FALSE,45-64,male,Black
Queens,113,TRUE,25-44,male,Black
the Bronx,47,FALSE,18-24,male,Black
the Bronx,40,FALSE,18-24,male,Black
Brooklyn,70,TRUE,25-44,male,Black
Brooklyn,83,TRUE,18-24,female,White Hispanic
the Bronx,48,FALSE,<18,male,Black
Queens,102,TRUE,25-44,male,Black
the Bronx,46,FALSE,45-64,male,Black
the Bronx,46,FALSE,45-64,male,Black
Manhattan,26,FALSE,25-44,male,Black
the Bronx,46,FALSE,25-44,male,Black
the Bronx,40,FALSE,25-44,male,Black
Brooklyn,76,TRUE,25-44,male,Black
the Bronx,46,FALSE,25-44,male,Black
the Bronx,46,FALSE,18-24,male,White Hispanic
the Bronx,46,FALSE,25-44,male,White Hispanic
Brooklyn,75,TRUE,18-24,female,Unknown
Brooklyn,78,FALSE,25-44,male,White
the Bronx,42,FALSE,25-44,male,Black
the Bronx,47,FALSE,25-44,male,Black
the Bronx,44,TRUE,65+,male,White
